well,row,col,sample,condition,exclude_from_randomization,replicate,combination,final_concentration_uM,drug_panel
K08,K,8,patient_sample,Vemurafenib + Cobimetinib,False,3,True,2.5 / 2.5,melanoma
K09,K,9,patient_sample,Paclitaxel,False,2,False,0.5,ovarian
K10,K,10,patient_sample,DMSO,True,9,False,,ovarian
K11,K,11,patient_sample,Neratinib,False,3,False,5,ovarian
L03,L,3,patient_sample,DMSO,True,10,False,,ovarian
L04,L,4,patient_sample,Olaparib,False,2,False,10,ovarian
L05,L,5,patient_sample,Sorafenib,False,2,False,5,ovarian
L06,L,6,patient_sample,Capivasertib,False,3,False,5,melanoma
L07,L,7,patient_sample,Carboplatin + Paclitaxel,False,2,True,10 / 0.5,ovarian
L08,L,8,patient_sample,Fluorouracil,False,3,False,30,ovarian
L09,L,9,patient_sample,Abemaciclib,False,3,False,10,ovarian
L10,L,10,patient_sample,Trametinib,False,3,False,2.5,melanoma
M03,M,3,patient_sample,Alpelisib,False,3,False,5,ovarian
M04,M,4,patient_sample,Dabrafenib,False,3,False,2.5,melanoma
M05,M,5,patient_sample,Temozolomide,False,3,False,,melanoma
M06,M,6,patient_sample,Ulixertinib,False,3,False,5,melanoma
M07,M,7,patient_sample,Gemcitabine,False,3,False,2.5,ovarian
M08,M,8,patient_sample,Cobimetinib,False,3,False,2.5,melanoma
M09,M,9,patient_sample,Ribociclib,False,3,False,10,ovarian
M10,M,10,patient_sample,Olaparib,False,3,False,10,ovarian
M11,M,11,patient_sample,DMSO,True,11,False,,ovarian
N03,N,3,patient_sample,DMSO,True,12,False,,ovarian
N04,N,4,patient_sample,Sorafenib,False,3,False,5,ovarian
N05,N,5,patient_sample,Dasatinib,False,3,False,5,ovarian
N06,N,6,patient_sample,Trametinib + Erlotinib,False,3,True,5.0/5.0,ovarian
N07,N,7,patient_sample,Carboplatin + Paclitaxel,False,3,True,10 / 0.5,ovarian
N08,N,8,patient_sample,Avutometinib,False,3,False,2.5,melanoma
N09,N,9,patient_sample,Dacarbazine,False,3,False,,melanoma
N10,N,10,patient_sample,Paclitaxel,False,3,False,0.5,ovarian
