well,row,col,sample,condition,exclude_from_randomization,replicate,combination,final_concentration_uM,drug_panel
J11,J,11,patient_1,Olaparib + Berzosertib,False,2,True,,experimental
J12,J,12,OVCAR3,Staurosporine,True,2,False,2.5,standard
J13,J,13,patient_2,Dasatinib,False,2,False,5.0,standard
J14,J,14,patient_2,DMSO,True,8,False,,standard
J15,J,15,patient_2,Trametinib,False,2,False,5.0,standard
J16,J,16,patient_2,Carboplatin + Paclitaxel,False,1,True,,standard
J17,J,17,patient_2,Niraparib,False,2,False,10.0,standard
J18,J,18,patient_2,Abemaciclib,False,3,False,10.0,standard
J19,J,19,patient_2,Olaparib + Cediranib,False,2,True,,experimental
J20,J,20,patient_2,Olaparib + Trametinib,False,2,True,,experimental
J21,J,21,patient_2,Olaparib + Alpelisib,False,2,True,,experimental
K03,K,3,patient_1,Ribociclib,False,3,False,10.0,standard
K04,K,4,patient_1,Staurosporine,False,3,False,2.5,standard
K05,K,5,patient_1,Etoposide,False,3,False,1.0,standard
K06,K,6,patient_1,DMSO,True,9,False,,standard
K07,K,7,patient_1,Abemaciclib,False,2,False,10.0,standard
K08,K,8,patient_1,Erlotinib,False,3,False,5.0,standard
K09,K,9,patient_1,Carboplatin + Adavosertib,False,3,True,,experimental
K10,K,10,patient_1,Olaparib + Alpelisib,False,3,True,,experimental
K11,K,11,patient_1,Olaparib + Cediranib,False,3,True,,experimental
K12,K,12,OVCAR3,DMSO,True,5,False,,standard
K13,K,13,patient_2,Trastuzumab Deruxtecan,False,2,False,0.0017,standard
K14,K,14,patient_2,Niraparib,False,3,False,10.0,standard
K15,K,15,patient_2,Etoposide,False,2,False,1.0,standard
K16,K,16,patient_2,DMSO,True,9,False,,standard
K17,K,17,patient_2,Cyclophosphamide,False,3,False,10.0,standard
K18,K,18,patient_2,Carboplatin + Paclitaxel,False,2,True,,standard
K19,K,19,patient_2,Carboplatin + Trametinib,False,3,True,,experimental
K20,K,20,patient_2,Carboplatin + Adavosertib,False,2,True,,experimental
K21,K,21,patient_2,Olaparib + Cediranib,False,3,True,,experimental
L03,L,3,patient_1,Cyclophosphamide,False,2,False,10.0,standard
L04,L,4,patient_1,Methotrexate,False,2,False,5.0,standard
L05,L,5,patient_1,DMSO,True,10,False,,standard
L06,L,6,patient_1,Cobimetinib,False,2,False,5.0,standard
L07,L,7,patient_1,Trametinib,False,3,False,5.0,standard
L08,L,8,patient_1,Vinblastine,False,3,False,0.25,standard
L09,L,9,patient_1,Carboplatin + Gemcitabine,False,2,True,,experimental
L10,L,10,patient_1,Doxorubicin + Cyclophosphamide,False,3,True,,experimental
L11,L,11,patient_1,Olaparib + Trametinib,False,2,True,,experimental
L12,L,12,OVCAR3,Etoposide,True,3,False,1.0,standard
L13,L,13,patient_2,Trametinib,False,3,False,5.0,standard
L14,L,14,patient_2,Cobimetinib,False,3,False,5.0,standard
L15,L,15,patient_2,DMSO,True,10,False,,standard
L16,L,16,patient_2,Paclitaxel,False,2,False,0.25,standard
L17,L,17,patient_2,Carboplatin,False,3,False,10.0,standard
L18,L,18,patient_2,Staurosporine,False,2,False,2.5,standard
L19,L,19,patient_2,Prexasertib,False,3,False,5.0,experimental
L20,L,20,patient_2,Olaparib + Everolimus,False,3,True,,experimental
L21,L,21,patient_2,Bortezomib,False,3,False,0.25,experimental
M03,M,3,patient_1,Paclitaxel,False,3,False,0.25,standard
M04,M,4,patient_1,Niraparib,False,3,False,10.0,standard
M05,M,5,patient_1,Olaparib,False,3,False,10.0,standard
M06,M,6,patient_1,Cobimetinib,False,3,False,5.0,standard
M07,M,7,patient_1,Fluorouracil,False,3,False,30.0,standard
M08,M,8,patient_1,DMSO,True,11,False,,standard
M09,M,9,patient_1,Carboplatin + Trametinib,False,3,True,,experimental
M10,M,10,patient_1,Olaparib + Berzosertib,False,3,True,,experimental
M11,M,11,patient_1,Olaparib + Everolimus,False,3,True,,experimental
M12,M,12,OVCAR3,DMSO,True,6,False,,standard
M13,M,13,patient_2,Staurosporine,False,3,False,2.5,standard
M14,M,14,patient_2,Trastuzumab Deruxtecan,False,3,False,0.0017,standard
M15,M,15,patient_2,Everolimus,False,3,False,5.0,standard
M16,M,16,patient_2,Erlotinib,False,3,False,5.0,standard
M17,M,17,patient_2,Dasatinib,False,3,False,5.0,standard
M18,M,18,patient_2,DMSO,True,11,False,,standard
M19,M,19,patient_2,Olaparib + Alpelisib,False,3,True,,experimental
M20,M,20,patient_2,Trametinib + Ribociclib,False,3,True,,experimental
M21,M,21,patient_2,Doxorubicin + Cyclophosphamide,False,3,True,,experimental
N03,N,3,patient_1,DMSO,True,12,False,,standard
N04,N,4,patient_1,Methotrexate,False,3,False,5.0,standard
N05,N,5,patient_1,Abemaciclib,False,3,False,10.0,standard
N06,N,6,patient_1,Carboplatin + Paclitaxel,False,3,True,,standard
N07,N,7,patient_1,Dasatinib,False,3,False,5.0,standard
N08,N,8,patient_1,Cyclophosphamide,False,3,False,10.0,standard
N09,N,9,patient_1,Carboplatin + Gemcitabine,False,3,True,,experimental
N10,N,10,patient_1,Olaparib + Trametinib,False,3,True,,experimental
N11,N,11,patient_1,Prexasertib,False,3,False,5.0,experimental
N12,N,12,OVCAR3,Staurosporine,True,3,False,2.5,standard
N13,N,13,patient_2,DMSO,True,12,False,,standard
N14,N,14,patient_2,Alpelisib,False,3,False,5.0,standard
N15,N,15,patient_2,Etoposide,False,3,False,1.0,standard
N16,N,16,patient_2,Paclitaxel,False,3,False,0.25,standard
N17,N,17,patient_2,Carboplatin + Paclitaxel,False,3,True,,standard
N18,N,18,patient_2,Methotrexate,False,3,False,5.0,standard
N19,N,19,patient_2,Carboplatin + Adavosertib,False,3,True,,experimental
N20,N,20,patient_2,Olaparib + Berzosertib,False,3,True,,experimental
N21,N,21,patient_2,Olaparib + Trametinib,False,3,True,,experimental
