well,row,col,sample,condition,exclude_from_randomization,replicate,combination,final_concentration_uM,drug_panel,2000x_mM,1000x_mM
E20,E,20,patient_2,Doxorubicin + Cyclophosphamide,False,1,True,,experimental,,
E21,E,21,patient_2,Bortezomib,False,1,False,0.5,experimental,1.0,0.5
F03,F,3,patient_1,Methotrexate,False,2,False,5.0,standard,10.0,5.0
F04,F,4,patient_1,Erlotinib,False,2,False,5.0,standard,10.0,5.0
F05,F,5,patient_1,Trastuzumab Deruxtecan,False,1,False,0.0017,standard,0.0034,0.0017
F06,F,6,patient_1,Vinblastine,False,2,False,0.5,standard,1.0,0.5
F07,F,7,patient_1,DMSO,True,4,False,,standard,,
F08,F,8,patient_1,Etoposide,False,1,False,1.0,standard,2.0,1.0
F09,F,9,patient_1,Carboplatin + Trametinib,False,1,True,,experimental,,
F10,F,10,patient_1,Olaparib + Alpelisib,False,1,True,,experimental,,
F11,F,11,patient_1,Trametinib + Ribociclib,False,2,True,,experimental,,
F12,F,12,OVCAR3,Staurosporine,True,1,False,2.5,standard,5.0,2.5
F13,F,13,patient_2,Abemaciclib,False,1,False,10.0,standard,20.0,10.0
F14,F,14,patient_2,Ribociclib,False,1,False,10.0,standard,20.0,10.0
F15,F,15,patient_2,Erlotinib,False,1,False,5.0,standard,10.0,5.0
F16,F,16,patient_2,Methotrexate,False,2,False,5.0,standard,10.0,5.0
F17,F,17,patient_2,DMSO,True,4,False,,standard,,
F18,F,18,patient_2,Niraparib,False,1,False,10.0,standard,20.0,10.0
F19,F,19,patient_2,Olaparib + Berzosertib,False,1,True,,experimental,,
F20,F,20,patient_2,Olaparib + Alpelisib,False,2,True,,experimental,,
F21,F,21,patient_2,Olaparib + Cediranib,False,2,True,,experimental,,
G03,G,3,patient_1,Cobimetinib,False,2,False,5.0,standard,10.0,5.0
G04,G,4,patient_1,Abemaciclib,False,2,False,10.0,standard,20.0,10.0
G05,G,5,patient_1,Erlotinib,False,3,False,5.0,standard,10.0,5.0
G06,G,6,patient_1,Trastuzumab Deruxtecan,False,2,False,0.0017,standard,0.0034,0.0017
G07,G,7,patient_1,Niraparib,False,2,False,10.0,standard,20.0,10.0
G08,G,8,patient_1,DMSO,True,5,False,,standard,,
G09,G,9,patient_1,Olaparib + Everolimus,False,2,True,,experimental,,
G10,G,10,patient_1,Olaparib + Berzosertib,False,2,True,,experimental,,
G11,G,11,patient_1,Olaparib + Cediranib,False,1,True,,experimental,,
G12,G,12,OVCAR3,DMSO,True,3,False,,standard,,
G13,G,13,patient_2,Ribociclib,False,2,False,10.0,standard,20.0,10.0
G14,G,14,patient_2,Everolimus,False,1,False,5.0,standard,10.0,5.0
G15,G,15,patient_2,Carboplatin,False,1,False,10.0,standard,20.0,10.0
G16,G,16,patient_2,Fluorouracil,False,2,False,30.0,standard,60.0,30.0
G17,G,17,patient_2,Niraparib,False,2,False,10.0,standard,20.0,10.0
G18,G,18,patient_2,DMSO,True,5,False,,standard,,
G19,G,19,patient_2,Doxorubicin + Cyclophosphamide,False,2,True,,experimental,,
G20,G,20,patient_2,Carboplatin + Trametinib,False,2,True,,experimental,,
G21,G,21,patient_2,Olaparib + Cediranib,False,3,True,,experimental,,
H03,H,3,patient_1,Staurosporine,False,1,False,2.5,standard,5.0,2.5
H04,H,4,patient_1,Carboplatin + Paclitaxel,False,2,True,,standard,,
H05,H,5,patient_1,DMSO,True,6,False,,standard,,
H06,H,6,patient_1,Dasatinib,False,1,False,5.0,standard,10.0,5.0
H07,H,7,patient_1,Etoposide,False,2,False,1.0,standard,2.0,1.0
H08,H,8,patient_1,Cyclophosphamide,False,1,False,10.0,standard,20.0,10.0
H09,H,9,patient_1,Doxorubicin + Cyclophosphamide,False,2,True,,experimental,,
H10,H,10,patient_1,Prexasertib,False,2,False,5.0,experimental,10.0,5.0
H11,H,11,patient_1,Olaparib + Trametinib,False,1,True,,experimental,,
H12,H,12,OVCAR3,Etoposide,True,2,False,1.0,standard,2.0,1.0
H13,H,13,patient_2,Dasatinib,False,2,False,5.0,standard,10.0,5.0
H14,H,14,patient_2,Carboplatin + Paclitaxel,False,2,True,,standard,,
H15,H,15,patient_2,DMSO,True,6,False,,standard,,
H16,H,16,patient_2,Olaparib,False,2,False,10.0,standard,20.0,10.0
H17,H,17,patient_2,Trametinib,False,1,False,5.0,standard,10.0,5.0
H18,H,18,patient_2,Paclitaxel,False,2,False,0.5,standard,1.0,0.5
H19,H,19,patient_2,Carboplatin + Gemcitabine,False,2,True,,experimental,,
H20,H,20,patient_2,Olaparib + Trametinib,False,2,True,,experimental,,
H21,H,21,patient_2,Bortezomib,False,2,False,0.5,experimental,1.0,0.5
I03,I,3,patient_1,Etoposide,False,3,False,1.0,standard,2.0,1.0
I04,I,4,patient_1,Alpelisib,False,1,False,5.0,standard,10.0,5.0
I05,I,5,patient_1,Niraparib,False,3,False,10.0,standard,20.0,10.0
I06,I,6,patient_1,Dasatinib,False,2,False,5.0,standard,10.0,5.0
I07,I,7,patient_1,DMSO,True,7,False,,standard,,
I08,I,8,patient_1,Everolimus,False,3,False,5.0,standard,10.0,5.0
I09,I,9,patient_1,Olaparib + Everolimus,False,3,True,,experimental,,
I10,I,10,patient_1,Olaparib + Alpelisib,False,2,True,,experimental,,
I11,I,11,patient_1,Olaparib + Cediranib,False,2,True,,experimental,,
I12,I,12,OVCAR3,DMSO,True,4,False,,standard,,
I13,I,13,patient_2,Trametinib,False,2,False,5.0,standard,10.0,5.0
I14,I,14,patient_2,Carboplatin,False,2,False,10.0,standard,20.0,10.0
I15,I,15,patient_2,Etoposide,False,2,False,1.0,standard,2.0,1.0
I16,I,16,patient_2,Trastuzumab Deruxtecan,False,2,False,0.0017,standard,0.0034,0.0017
I17,I,17,patient_2,DMSO,True,7,False,,standard,,
I18,I,18,patient_2,Paclitaxel,False,3,False,0.5,standard,1.0,0.5
I19,I,19,patient_2,Prexasertib,False,2,False,5.0,experimental,10.0,5.0
I20,I,20,patient_2,Olaparib + Berzosertib,False,2,True,,experimental,,
I21,I,21,patient_2,Trametinib + Ribociclib,False,1,True,,experimental,,
J03,J,3,patient_1,Cyclophosphamide,False,2,False,10.0,standard,20.0,10.0
J04,J,4,patient_1,DMSO,True,8,False,,standard,,
J05,J,5,patient_1,Staurosporine,False,2,False,2.5,standard,5.0,2.5
J06,J,6,patient_1,Paclitaxel,False,2,False,0.5,standard,1.0,0.5
J07,J,7,patient_1,Olaparib,False,2,False,10.0,standard,20.0,10.0
J08,J,8,patient_1,Fluorouracil,False,2,False,30.0,standard,60.0,30.0
J09,J,9,patient_1,Carboplatin + Adavosertib,False,2,True,,experimental,,
J10,J,10,patient_1,Bortezomib,False,2,False,0.5,experimental,1.0,0.5
J11,J,11,patient_1,Olaparib + Trametinib,False,2,True,,experimental,,
J12,J,12,OVCAR3,Staurosporine,True,2,False,2.5,standard,5.0,2.5
J13,J,13,patient_2,Cyclophosphamide,False,2,False,10.0,standard,20.0,10.0
J14,J,14,patient_2,DMSO,True,8,False,,standard,,
J15,J,15,patient_2,Vinblastine,False,2,False,0.5,standard,1.0,0.5
J16,J,16,patient_2,Abemaciclib,False,2,False,10.0,standard,20.0,10.0
J17,J,17,patient_2,Methotrexate,False,3,False,5.0,standard,10.0,5.0
J18,J,18,patient_2,Erlotinib,False,2,False,5.0,standard,10.0,5.0
J19,J,19,patient_2,Olaparib + Everolimus,False,2,True,,experimental,,
J20,J,20,patient_2,Carboplatin + Adavosertib,False,1,True,,experimental,,
J21,J,21,patient_2,Olaparib + Alpelisib,False,3,True,,experimental,,
K03,K,3,patient_1,Methotrexate,False,3,False,5.0,standard,10.0,5.0
K04,K,4,patient_1,Olaparib,False,3,False,10.0,standard,20.0,10.0
K05,K,5,patient_1,Trametinib,False,2,False,5.0,standard,10.0,5.0
K06,K,6,patient_1,DMSO,True,9,False,,standard,,
K07,K,7,patient_1,Ribociclib,False,2,False,10.0,standard,20.0,10.0
K08,K,8,patient_1,Carboplatin,False,2,False,10.0,standard,20.0,10.0
K09,K,9,patient_1,Carboplatin + Trametinib,False,2,True,,experimental,,
K10,K,10,patient_1,Carboplatin + Gemcitabine,False,3,True,,experimental,,
K11,K,11,patient_1,Bortezomib,False,3,False,0.5,experimental,1.0,0.5
K12,K,12,OVCAR3,DMSO,True,5,False,,standard,,
K13,K,13,patient_2,Cobimetinib,False,3,False,5.0,standard,10.0,5.0
K14,K,14,patient_2,Everolimus,False,2,False,5.0,standard,10.0,5.0
K15,K,15,patient_2,Abemaciclib,False,3,False,10.0,standard,20.0,10.0
K16,K,16,patient_2,DMSO,True,9,False,,standard,,
K17,K,17,patient_2,Dasatinib,False,3,False,5.0,standard,10.0,5.0
K18,K,18,patient_2,Staurosporine,False,3,False,2.5,standard,5.0,2.5
K19,K,19,patient_2,Trametinib + Ribociclib,False,2,True,,experimental,,
K20,K,20,patient_2,Olaparib + Trametinib,False,3,True,,experimental,,
K21,K,21,patient_2,Carboplatin + Adavosertib,False,2,True,,experimental,,
L03,L,3,patient_1,Vinblastine,False,3,False,0.5,standard,1.0,0.5
L04,L,4,patient_1,Dasatinib,False,3,False,5.0,standard,10.0,5.0
L05,L,5,patient_1,DMSO,True,10,False,,standard,,
L06,L,6,patient_1,Abemaciclib,False,3,False,10.0,standard,20.0,10.0
L07,L,7,patient_1,Alpelisib,False,2,False,5.0,standard,10.0,5.0
L08,L,8,patient_1,Cobimetinib,False,3,False,5.0,standard,10.0,5.0
L09,L,9,patient_1,Prexasertib,False,3,False,5.0,experimental,10.0,5.0
L10,L,10,patient_1,Doxorubicin + Cyclophosphamide,False,3,True,,experimental,,
L11,L,11,patient_1,Trametinib + Ribociclib,False,3,True,,experimental,,
L12,L,12,OVCAR3,Etoposide,True,3,False,1.0,standard,2.0,1.0
L13,L,13,patient_2,Fluorouracil,False,3,False,30.0,standard,60.0,30.0
L14,L,14,patient_2,Cyclophosphamide,False,3,False,10.0,standard,20.0,10.0
L15,L,15,patient_2,DMSO,True,10,False,,standard,,
L16,L,16,patient_2,Niraparib,False,3,False,10.0,standard,20.0,10.0
L17,L,17,patient_2,Alpelisib,False,2,False,5.0,standard,10.0,5.0
L18,L,18,patient_2,Trametinib,False,3,False,5.0,standard,10.0,5.0
L19,L,19,patient_2,Olaparib + Berzosertib,False,3,True,,experimental,,
L20,L,20,patient_2,Carboplatin + Gemcitabine,False,3,True,,experimental,,
L21,L,21,patient_2,Olaparib + Everolimus,False,3,True,,experimental,,
M03,M,3,patient_1,Trametinib,False,3,False,5.0,standard,10.0,5.0
M04,M,4,patient_1,Carboplatin,False,3,False,10.0,standard,20.0,10.0
M05,M,5,patient_1,Staurosporine,False,3,False,2.5,standard,5.0,2.5
M06,M,6,patient_1,Alpelisib,False,3,False,5.0,standard,10.0,5.0
M07,M,7,patient_1,Cyclophosphamide,False,3,False,10.0,standard,20.0,10.0
M08,M,8,patient_1,DMSO,True,11,False,,standard,,
M09,M,9,patient_1,Olaparib + Trametinib,False,3,True,,experimental,,
M10,M,10,patient_1,Olaparib + Berzosertib,False,3,True,,experimental,,
M11,M,11,patient_1,Olaparib + Cediranib,False,3,True,,experimental,,
M12,M,12,OVCAR3,DMSO,True,6,False,,standard,,
M13,M,13,patient_2,Olaparib,False,3,False,10.0,standard,20.0,10.0
M14,M,14,patient_2,Etoposide,False,3,False,1.0,standard,2.0,1.0
M15,M,15,patient_2,Ribociclib,False,3,False,10.0,standard,20.0,10.0
M16,M,16,patient_2,Everolimus,False,3,False,5.0,standard,10.0,5.0
M17,M,17,patient_2,Vinblastine,False,3,False,0.5,standard,1.0,0.5
M18,M,18,patient_2,DMSO,True,11,False,,standard,,
M19,M,19,patient_2,Carboplatin + Trametinib,False,3,True,,experimental,,
M20,M,20,patient_2,Doxorubicin + Cyclophosphamide,False,3,True,,experimental,,
M21,M,21,patient_2,Prexasertib,False,3,False,5.0,experimental,10.0,5.0
N03,N,3,patient_1,DMSO,True,12,False,,standard,,
N04,N,4,patient_1,Trastuzumab Deruxtecan,False,3,False,0.0017,standard,0.0034,0.0017
N05,N,5,patient_1,Fluorouracil,False,3,False,30.0,standard,60.0,30.0
N06,N,6,patient_1,Ribociclib,False,3,False,10.0,standard,20.0,10.0
N07,N,7,patient_1,Carboplatin + Paclitaxel,False,3,True,,standard,,
N08,N,8,patient_1,Paclitaxel,False,3,False,0.5,standard,1.0,0.5
N09,N,9,patient_1,Carboplatin + Adavosertib,False,3,True,,experimental,,
N10,N,10,patient_1,Olaparib + Alpelisib,False,3,True,,experimental,,
N11,N,11,patient_1,Carboplatin + Trametinib,False,3,True,,experimental,,
N12,N,12,OVCAR3,Staurosporine,True,3,False,2.5,standard,5.0,2.5
N13,N,13,patient_2,DMSO,True,12,False,,standard,,
N14,N,14,patient_2,Alpelisib,False,3,False,5.0,standard,10.0,5.0
N15,N,15,patient_2,Carboplatin,False,3,False,10.0,standard,20.0,10.0
N16,N,16,patient_2,Erlotinib,False,3,False,5.0,standard,10.0,5.0
N17,N,17,patient_2,Trastuzumab Deruxtecan,False,3,False,0.0017,standard,0.0034,0.0017
N18,N,18,patient_2,Carboplatin + Paclitaxel,False,3,True,,standard,,
N19,N,19,patient_2,Carboplatin + Adavosertib,False,3,True,,experimental,,
N20,N,20,patient_2,Bortezomib,False,3,False,0.5,experimental,1.0,0.5
N21,N,21,patient_2,Trametinib + Ribociclib,False,3,True,,experimental,,
